8 + 8 + 8 + 8 + 3 + 1
8 + 8 + 8 + 8 + 2 + 2
8 + 8 + 8 + 7 + 4 + 1
8 + 8 + 8 + 7 + 3 + 2
8 + 8 + 8 + 6 + 5 + 1
8 + 8 + 8 + 6 + 4 + 2
8 + 8 + 8 + 6 + 3 + 3
8 + 8 + 8 + 5 + 5 + 2
8 + 8 + 8 + 5 + 4 + 3
8 + 8 + 8 + 4 + 4 + 4
8 + 8 + 7 + 7 + 5 + 1
8 + 8 + 7 + 7 + 4 + 2
8 + 8 + 7 + 7 + 3 + 3
8 + 8 + 7 + 6 + 6 + 1
8 + 8 + 7 + 6 + 5 + 2
8 + 8 + 7 + 6 + 4 + 3
8 + 8 + 7 + 5 + 5 + 3
8 + 8 + 7 + 5 + 4 + 4
8 + 8 + 6 + 6 + 6 + 2
8 + 8 + 6 + 6 + 5 + 3
8 + 8 + 6 + 6 + 4 + 4
8 + 8 + 6 + 5 + 5 + 4
8 + 8 + 5 + 5 + 5 + 5

8 + 7 + 7 + 7 + 6 + 1
8 + 7 + 7 + 7 + 5 + 2
8 + 7 + 7 + 7 + 4 + 3

8 + 7 + 7 + 6 + 6 + 2
8 + 7 + 7 + 6 + 5 + 3
8 + 7 + 7 + 6 + 4 + 4
8 + 7 + 7 + 5 + 5 + 4
8 + 7 + 6 + 6 + 6 + 3
8 + 7 + 6 + 6 + 5 + 4
8 + 7 + 6 + 5 + 5 + 5

8 + 6 + 6 + 6 + 6 + 4
8 + 6 + 6 + 6 + 5 + 5

7 + 7 + 7 + 7 + 7 + 1
7 + 7 + 7 + 7 + 6 + 2
7 + 7 + 7 + 7 + 5 + 3
7 + 7 + 7 + 7 + 4 + 4
7 + 7 + 7 + 6 + 6 + 3
7 + 7 + 7 + 6 + 5 + 4

7 + 7 + 7 + 5 + 5 + 5


7 + 7 + 6 + 6 + 6 + 4

7 + 7 + 6 + 6 + 5 + 5

7 + 6 + 6 + 6 + 6 + 5

6 + 6 + 6 + 6 + 6 + 6
